Plate,Row,Column,Sample Name,Original sample name,Our label of the plate,Volume (ul),Concentration (ng/ul),Organism,Sex,Sample Description,Method of quantification,Purpose
3,F,1,4866-KIU-0031,CSD16-ILR-031,CSD16-3,~30,54.25570529,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,F,2,4866-KIU-0032,CSD16-ILR-032,CSD16-3,~30,12.6790986,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,F,3,4866-KIU-0033,CSD16-ILR-033,CSD16-3,~30,39.39633602,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,F,4,4866-KIU-0034,CSD16-ILR-034,CSD16-3,~30,33.49924883,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,F,5,4866-KIU-0035,CSD16-ILR-035,CSD16-3,~30,35.51337944,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,F,6,4866-KIU-0036,CSD16-ILR-036,CSD16-3,~30,33.43669075,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,F,7,4866-KIU-0037,CSD16-ILR-037,CSD16-3,~30,27.92921338,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,F,8,4866-KIU-0038,CSD16-ILR-038,CSD16-3,~30,29.60677676,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,F,9,4866-KIU-0039,CSD16-ILR-039,CSD16-3,~30,14.62795869,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,F,10,4866-KIU-0040,CSD16-ILR-040,CSD16-3,~30,12.42706345,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,F,11,4866-KIU-0041,CSD16-ILR-041,CSD16-3,~30,40.5506033,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,F,12,4866-KIU-0042,CSD16-ILR-042,CSD16-3,~30,11.42755629,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,G,1,4866-KIU-0043,CSD16-ILR-043,CSD16-3,~30,18.11782151,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,G,2,4866-KIU-0044,CSD16-ILR-044,CSD16-3,~30,15.43451678,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,G,3,4866-KIU-0045,CSD16-ILR-045,CSD16-3,~30,2.395226224,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,G,4,4866-KIU-0046,CSD16-ILR-046,CSD16-3,~30,13.49452685,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,G,5,4866-KIU-0047,CSD16-ILR-047,CSD16-3,~30,23.68449797,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,G,6,4866-KIU-0048,CSD16-ILR-048,CSD16-3,~30,5.006018599,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,G,7,4866-KIU-0049,CSD16-ILR-049,CSD16-3,~30,2.050071829,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,G,8,4866-KIU-0050,CSD16-ILR-050,CSD16-3,~30,11.4136312,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,G,9,4866-KIU-0051,CSD16-ILR-051,CSD16-3,~30,24.18174094,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,G,10,4866-KIU-0052,CSD16-ILR-052,CSD16-3,~30,122.9420653,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,G,11,4866-KIU-0053,CSD16-ILR-053,CSD16-3,~30,53.48639655,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,G,12,4866-KIU-0054,CSD16-ILR-054,CSD16-3,~30,21.20123188,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,H,1,4866-KIU-0055,CSD16-ILR-055,CSD16-3,~30,41.46632975,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,H,2,4866-KIU-0056,CSD16-ILR-056,CSD16-3,~30,32.97308699,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,H,3,4866-KIU-0057,CSD16-ILR-057,CSD16-3,~30,67.25964178,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,H,4,4866-KIU-0058,CSD16-ILR-058,CSD16-3,~30,52.71894076,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,H,5,4866-KIU-0059,CSD16-ILR-059,CSD16-3,~30,26.66816215,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,H,6,4866-KIU-0060,CSD16-ILR-060,CSD16-3,~30,13.69170837,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,H,7,4866-KIU-0061,CSD16-ILR-061,CSD16-3,~30,28.92731069,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,H,8,4866-KIU-0062,CSD16-ILR-062,CSD16-3,~30,9.101533782,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,H,9,4866-KIU-0063,CSD16-ILR-063,CSD16-3,~30,8.996881878,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,H,10,4866-KIU-0064,CSD16-ILR-064,CSD16-3,~30,125.2741111,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,H,11,4866-KIU-0065,CSD16-ILR-065,CSD16-3,~30,28.56269188,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
3,H,12,4866-KIU-0066,CSD16-ILR-066,CSD16-3,~30,19.21267842,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,A,1,4866-KIU-0067,CSD16-ILR-067,CSD16-4,~30,37.76808744,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,A,2,4866-KIU-0068,CSD16-ILR-068,CSD16-4,~30,17.80382825,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,A,3,4866-KIU-0069,CSD16-ILR-069,CSD16-4,~30,44.89648144,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,A,4,4866-KIU-0070,CSD16-ILR-070,CSD16-4,~30,29.24328055,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,A,5,4866-KIU-0071,CSD16-ILR-071,CSD16-4,~30,26.66191284,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,A,6,4866-KIU-0072,CSD16-ILR-072,CSD16-4,~30,1.518486569,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,A,7,4866-KIU-0073,CSD16-ILR-073,CSD16-4,~30,26.51050673,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,A,8,4866-KIU-0074,CSD16-ILR-074,CSD16-4,~30,36.49975843,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,A,9,4866-KIU-0075,CSD16-ILR-075,CSD16-4,~30,4.959248939,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,A,10,4866-KIU-0076,CSD16-ILR-076,CSD16-4,~30,5.211870292,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,A,11,4866-KIU-0077,CSD16-ILR-077,CSD16-4,~30,7.950577404,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,A,12,4866-KIU-0078,CSD16-ILR-078,CSD16-4,~30,33.86918244,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,B,1,4866-KIU-0079,CSD16-ILR-079,CSD16-4,~30,74.7868281,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,B,2,4866-KIU-0080,CSD16-ILR-080,CSD16-4,~30,68.00262031,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,B,3,4866-KIU-0081,CSD16-ILR-081,CSD16-4,~30,17.2641965,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,B,4,4866-KIU-0082,CSD16-ILR-082,CSD16-4,~30,22.53479459,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,B,5,4866-KIU-0083,CSD16-ILR-083,CSD16-4,~30,30.21856666,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,B,6,4866-KIU-0084,CSD16-ILR-084,CSD16-4,~30,37.96605951,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,B,7,4866-KIU-0085,CSD16-ILR-085,CSD16-4,~30,21.38778191,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,B,8,4866-KIU-0086,CSD16-ILR-086,CSD16-4,~30,0.389645845,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,B,9,4866-KIU-0087,CSD16-ILR-087,CSD16-4,~30,11.627794,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,B,10,4866-KIU-0088,CSD16-ILR-088,CSD16-4,~30,16.55679323,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,B,11,4866-KIU-0089,CSD16-ILR-089,CSD16-4,~30,22.44778558,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,B,12,4866-KIU-0090,CSD16-ILR-090,CSD16-4,~30,34.05179376,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,C,1,4866-KIU-0091,CSD16-ILR-091,CSD16-4,~30,25.4838973,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,C,2,4866-KIU-0092,CSD16-ILR-092,CSD16-4,~30,20.17218754,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,C,3,4866-KIU-0093,CSD16-ILR-093,CSD16-4,~30,11.7229447,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,C,4,4866-KIU-0094,CSD16-ILR-094,CSD16-4,~30,5.551433174,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,C,5,4866-KIU-0095,CSD16-ILR-095,CSD16-4,~30,6.973373971,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,C,6,4866-KIU-0096,CSD16-ILR-096,CSD16-4,~30,3.741293889,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,C,7,4866-KIU-0097,CSD16-ILR-097,CSD16-4,~30,9.954614505,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,C,8,4866-KIU-0098,CSD16-ILR-098,CSD16-4,~30,-0.000311644,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,C,9,4866-KIU-0099,CSD16-ILR-099,CSD16-4,~30,54.65614714,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,C,10,4866-KIU-0100,CSD16-ILR-100,CSD16-4,~30,21.06607082,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,C,11,4866-KIU-0101,CSD16-ILR-101,CSD16-4,~30,69.7528555,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,C,12,4866-KIU-0102,CSD16-ILR-102,CSD16-4,~30,64.50083668,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,D,1,4866-KIU-0103,CSD16-ILR-103,CSD16-4,~30,95.50947984,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,D,2,4866-KIU-0104,CSD16-ILR-104,CSD16-4,~30,41.86753471,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,D,3,4866-KIU-0105,CSD16-ILR-105,CSD16-4,~30,23.99254464,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,D,4,4866-KIU-0106,CSD16-ILR-106,CSD16-4,~30,35.86312456,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,D,5,4866-KIU-0107,CSD16-ILR-107,CSD16-4,~30,49.51650269,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,D,6,4866-KIU-0108,CSD16-ILR-108,CSD16-4,~30,36.99932221,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,D,7,4866-KIU-0109,CSD16-ILR-109,CSD16-4,~30,33.65444487,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,D,8,4866-KIU-0110,CSD16-ILR-110,CSD16-4,~30,28.79491247,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,D,9,4866-KIU-0111,CSD16-ILR-111,CSD16-4,~30,49.3319885,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,D,10,4866-KIU-0112,CSD16-ILR-112,CSD16-4,~30,13.52340595,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,D,11,4866-KIU-0113,CSD16-ILR-113,CSD16-4,~30,11.88962082,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,D,12,4866-KIU-0114,CSD16-ILR-114,CSD16-4,~30,37.76842993,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,E,1,4866-KIU-0115,CSD16-ILR-115,CSD16-4,~30,36.00189434,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,E,2,4866-KIU-0116,CSD16-ILR-116,CSD16-4,~30,23.9485088,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,E,3,4866-KIU-0117,CSD16-ILR-117,CSD16-4,~30,21.40335857,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,E,4,4866-KIU-0118,CSD16-ILR-118,CSD16-4,~30,24.83863388,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,E,5,4866-KIU-0119,CSD16-ILR-119,CSD16-4,~30,13.13444161,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,E,6,4866-KIU-0120,CSD16-ILR-120,CSD16-4,~30,15.43793792,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,E,7,4866-KIU-0121,CSD16-ILR-121,CSD16-4,~30,13.44976335,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,E,8,4866-KIU-0122,CSD16-ILR-122,CSD16-4,~30,20.45388795,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,E,9,4866-KIU-0123,CSD16-ILR-123,CSD16-4,~30,8.347228479,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,E,10,4866-KIU-0124,CSD16-ILR-124,CSD16-4,~30,26.57923533,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,E,11,4866-KIU-0125,CSD16-ILR-125,CSD16-4,~30,37.05391947,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,E,12,4866-KIU-0126,CSD16-ILR-126,CSD16-4,~30,3.603875624,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,F,1,4866-KIU-0127,CSD16-ILR-127,CSD16-4,~30,0.088381656,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,F,2,4866-KIU-0128,CSD16-ILR-128,CSD16-4,~30,8.769806284,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,F,3,4866-KIU-0129,CSD16-ILR-129,CSD16-4,~30,58.82418367,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,F,4,4866-KIU-0130,CSD16-ILR-130,CSD16-4,~30,19.84702585,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,F,6,4866-KIU-0131,Negative control-ILR,CSD16-4,~30,2.644770549,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,F,5,4866-KIU-0132,Positive control-ILR,CSD16-4,~30,2.165302365,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,F,7,4866-KIU-0133,"""-VE control swab 1""",CSD16-4,~30,0.781095186,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,F,8,4866-KIU-0134,"""-VE control swab 2""",CSD16-4,~30,0.143307805,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
4,F,9,4866-KIU-0135,"""-VE control swab 3""",CSD16-4,~30,0.197348521,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
2,A,1,4866-KIU-0136,CSD16-DOH-001,CSD16-2,~30,0.369964657,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
2,A,2,4866-KIU-0137,CSD16-DOH-002,CSD16-2,~30,0.61288378,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
2,A,3,4866-KIU-0138,CSD16-DOH-005,CSD16-2,~30,59.22384497,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
2,A,4,4866-KIU-0139,CSD16-DOH-006,CSD16-2,~30,3.851524617,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
2,A,5,4866-KIU-0140,CSD16-DOH-007,CSD16-2,~30,9.904105545,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
2,A,6,4866-KIU-0141,CSD16-DOH-008,CSD16-2,~30,96.8938753,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
2,A,7,4866-KIU-0142,CSD16-DOH-009,CSD16-2,~30,69.68682115,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
2,A,8,4866-KIU-0143,CSD16-DOH-011,CSD16-2,~30,1.688871774,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
2,A,9,4866-KIU-0144,CSD16-DOH-012,CSD16-2,~30,24.3168366,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
2,A,10,4866-KIU-0145,CSD16-DOH-013,CSD16-2,~30,242.7539405,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
2,A,11,4866-KIU-0146,CSD16-DOH-014,CSD16-2,~30,45.03661418,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
2,A,12,4866-KIU-0147,CSD16-DOH-015,CSD16-2,~30,101.8354391,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
2,B,1,4866-KIU-0148,CSD16-DOH-016,CSD16-2,~30,0.173331212,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
2,B,2,4866-KIU-0149,CSD16-DOH-019,CSD16-2,~30,0.184356152,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
2,B,3,4866-KIU-0150,CSD16-DOH-020,CSD16-2,~30,182.4284727,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
2,B,4,4866-KIU-0151,CSD16-DOH-021,CSD16-2,~30,6.442268184,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
2,B,5,4866-KIU-0152,CSD16-DOH-022,CSD16-2,~30,60.35245074,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
2,B,6,4866-KIU-0153,CSD16-DOH-023,CSD16-2,~30,358.89774,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
2,B,7,4866-KIU-0154,CSD16-DOH-026,CSD16-2,~30,243.8134831,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
2,B,8,4866-KIU-0155,CSD16-DOH-027,CSD16-2,~30,61.43749928,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
2,B,9,4866-KIU-0156,CSD16-DOH-028,CSD16-2,~30,90.67907264,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
2,B,10,4866-KIU-0157,CSD16-DOH-029,CSD16-2,~30,12.08920274,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
2,B,11,4866-KIU-0158,CSD16-DOH-030,CSD16-2,~30,67.49256099,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
2,B,12,4866-KIU-0159,CSD16-DOH-031,CSD16-2,~30,43.06895876,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
2,C,1,4866-KIU-0160,CSD16-DOH-032,CSD16-2,~30,0.057514427,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
2,C,2,4866-KIU-0161,CSD16-DOH-033,CSD16-2,~30,0.249236745,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
2,C,3,4866-KIU-0162,CSD16-DOH-034,CSD16-2,~30,28.81114444,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
2,C,4,4866-KIU-0163,CSD16-DOH-035,CSD16-2,~30,13.41821576,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
2,C,5,4866-KIU-0164,CSD16-DOH-036,CSD16-2,~30,26.40846432,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
2,C,6,4866-KIU-0165,CSD16-DOH-037,CSD16-2,~30,10.09775814,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
2,C,7,4866-KIU-0166,CSD16-DOH-038,CSD16-2,~30,0.009936955,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
2,C,8,4866-KIU-0167,CSD16-DOH-039,CSD16-2,~30,-0.018256777,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
2,C,9,4866-KIU-0168,CSD16-DOH-040,CSD16-2,~30,0.032430899,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
2,C,10,4866-KIU-0169,CSD16-DOH-041,CSD16-2,~30,0.059126242,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
2,C,11,4866-KIU-0170,CSD16-DOH-042,CSD16-2,~30,0.160065715,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
2,C,12,4866-KIU-0171,CSD16-DOH-043,CSD16-2,~30,0.107296893,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
2,D,1,4866-KIU-0172,CSD16-DOH-044,CSD16-2,~30,0.303108147,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
2,D,2,4866-KIU-0173,CSD16-DOH-045,CSD16-2,~30,0.090158531,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
2,D,3,4866-KIU-0174,CSD16-DOH-047,CSD16-2,~30,0.252177956,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
2,D,4,4866-KIU-0175,CSD16-DOH-049,CSD16-2,~30,-0.079782252,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
2,D,5,4866-KIU-0176,CSD16-DOH-050,CSD16-2,~30,0.45659968,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
2,D,6,4866-KIU-0177,CSD16-DOH-051,CSD16-2,~30,-0.037962822,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
2,D,7,4866-KIU-0178,CSD16-DOH-052,CSD16-2,~30,0.062636152,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
2,D,8,4866-KIU-0179,CSD16-DOH-053,CSD16-2,~30,0.293346909,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
2,D,9,4866-KIU-0180,CSD16-DOH-054,CSD16-2,~30,-0.058019858,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
2,D,10,4866-KIU-0181,CSD16-DOH-055,CSD16-2,~30,0.02790426,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
2,D,11,4866-KIU-0182,CSD16-DOH-056,CSD16-2,~30,-0.074002346,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
2,D,12,4866-KIU-0183,CSD16-DOH-057,CSD16-2,~30,0.137272285,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
2,E,1,4866-KIU-0184,CSD16-DOH-058,CSD16-2,~30,-0.096558285,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
2,E,2,4866-KIU-0185,CSD16-DOH-059,CSD16-2,~30,0.140292906,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
2,E,3,4866-KIU-0186,CSD16-DOH-060,CSD16-2,~30,-0.116285314,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
2,E,4,4866-KIU-0187,CSD16-DOH-061,CSD16-2,~30,-0.078629132,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
2,E,5,4866-KIU-0188,CSD16-DOH-062,CSD16-2,~30,-0.073778208,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
2,E,6,4866-KIU-0189,CSD16-DOH-063,CSD16-2,~30,1.905134674,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
2,E,7,4866-KIU-0190,CSD16-DOH-065,CSD16-2,~30,0.542847128,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
2,E,8,4866-KIU-0191,CSD16-DOH-066,CSD16-2,~30,0.097850657,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
2,E,9,4866-KIU-0192,CSD16-DOH-067,CSD16-2,~30,0.004811342,metagenome,,DNA,Pico green,Library prep for shot gun sequencing
